Player,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Cluster
Tony Parker\parketo01,55,1071,6.0,13.0,0.459,0.3,1.2,0.27,5.6,11.8,0.479,1.8,2.6,0.705,0.2,3.0,6.6,0.9,0.0,2.3,14.2,2
Tony Snell\snellto01,75,2053,3.2,7.5,0.435,1.9,4.7,0.403,1.4,2.8,0.49,0.7,0.8,0.792,0.2,2.3,1.7,0.8,0.5,0.6,9.0,0
Treveon Graham\grahatr01,63,1050,3.3,7.6,0.434,1.4,3.3,0.412,1.9,4.3,0.452,1.4,2.0,0.695,1.4,2.7,2.0,1.1,0.1,0.9,9.4,2
Trevor Ariza\arizatr01,67,2269,4.3,10.3,0.412,2.7,7.3,0.368,1.6,3.0,0.519,1.2,1.4,0.854,0.5,4.1,1.7,1.6,0.2,0.8,12.4,0
Trevor Booker\booketr01,136,2316,5.525,10.875,0.51325,0.25,1.125,0.248,5.275,9.75,0.54325,1.975,2.775,0.7495,3.7,6.275,2.575,0.825,0.675,1.8,13.35,0
Trey Lyles\lylestr01,73,1391,7.0,14.2,0.491,2.1,5.6,0.381,4.8,8.6,0.563,2.6,3.7,0.706,1.4,7.6,2.4,0.8,0.9,1.6,18.7,2
Tristan Thompson\thomptr01,53,1072,4.4,7.9,0.562,0.0,0.0,,4.4,7.9,0.562,1.4,2.7,0.544,4.2,7.6,1.1,0.5,0.6,1.2,10.3,2
Troy Daniels\danietr01,79,1622,5.1,12.8,0.403,4.1,10.2,0.4,1.1,2.6,0.419,1.2,1.4,0.875,0.3,2.6,1.1,0.6,0.1,1.2,15.6,2
Tyler Johnson\johnsty01,72,2052,5.4,12.5,0.435,2.1,5.7,0.367,3.3,6.8,0.491,1.9,2.3,0.822,0.6,3.8,2.9,1.1,0.6,1.4,14.8,0
Tyler Ulis\ulisty01,71,1658,4.6,12.0,0.388,0.9,3.2,0.288,3.7,8.8,0.425,1.8,2.2,0.832,0.5,2.3,6.8,1.5,0.2,2.8,12.0,2
Tyler Zeller\zellety01,132,2218,6.0,10.6,0.5653333333333334,0.26666666666666666,0.7999999999999999,0.24733333333333332,5.7,9.799999999999999,0.5823333333333333,1.8,2.466666666666667,0.7613333333333333,3.6666666666666665,6.233333333333333,1.5333333333333332,0.5,1.1333333333333335,1.4666666666666668,14.066666666666668,0
Tyreke Evans\evansty01,52,1607,8.2,18.1,0.452,2.6,6.4,0.399,5.6,11.7,0.482,3.7,4.7,0.785,1.0,5.0,6.0,1.3,0.4,2.6,22.6,2
Tyson Chandler\chandty01,46,1151,3.8,5.8,0.647,0.0,0.0,,3.8,5.8,0.647,1.8,2.9,0.624,4.2,8.9,1.7,0.5,0.8,1.8,9.4,2
Tyus Jones\jonesty01,82,1467,3.7,8.0,0.457,1.1,3.2,0.349,2.6,4.9,0.528,1.7,2.0,0.877,0.4,2.8,5.7,2.3,0.1,1.4,10.2,2
Victor Oladipo\oladivi01,75,2552,9.0,18.9,0.477,2.3,6.1,0.371,6.8,12.8,0.528,4.1,5.2,0.799,0.7,4.8,4.6,2.5,0.8,3.1,24.5,0
Vince Carter\cartevi01,58,1026,4.0,9.9,0.403,2.0,5.8,0.345,2.0,4.1,0.483,1.0,1.3,0.757,0.6,4.6,2.4,1.5,0.9,1.3,11.0,2
Wayne Ellington\ellinwa01,77,2041,5.0,12.3,0.407,4.0,10.2,0.392,1.0,2.1,0.479,1.2,1.4,0.859,0.4,3.4,1.4,0.9,0.1,0.9,15.2,0
Wesley Iwundu\iwundwe01,62,1020,3.3,7.7,0.427,0.3,1.6,0.196,3.0,6.1,0.488,1.2,1.7,0.723,1.3,3.6,2.0,1.2,0.4,1.1,8.1,2
Wesley Johnson\johnswe01,74,1486,3.6,8.9,0.408,1.5,4.3,0.339,2.2,4.6,0.471,1.0,1.4,0.741,0.7,4.5,1.5,1.8,1.5,1.3,9.8,2
Wesley Matthews\matthwe02,63,2131,4.8,11.8,0.406,2.6,6.8,0.381,2.2,5.0,0.441,1.4,1.7,0.822,0.5,2.9,2.9,1.3,0.3,1.4,13.5,0
Will Barton\bartowi01,81,2683,6.2,13.8,0.452,2.1,5.7,0.37,4.1,8.1,0.51,2.4,3.0,0.805,0.9,4.5,4.4,1.1,0.7,2.0,17.0,0
Willie Cauley-Stein\caulewi01,73,2044,6.8,13.6,0.502,0.1,0.2,0.25,6.8,13.4,0.506,2.7,4.4,0.619,2.3,6.7,3.0,1.4,1.2,1.9,16.4,0
Wilson Chandler\chandwi01,74,2346,4.3,9.7,0.445,1.4,3.8,0.358,3.0,5.9,0.501,1.4,1.7,0.772,1.6,4.5,2.4,0.7,0.6,1.4,11.3,0
Yogi Ferrell\ferreyo01,82,2282,4.9,11.5,0.426,2.1,5.7,0.373,2.8,5.9,0.477,1.3,1.6,0.796,0.4,3.5,3.2,1.0,0.1,1.2,13.2,0
Zach Collins\colliza01,66,1045,4.0,10.0,0.398,1.2,3.9,0.31,2.8,6.1,0.455,0.9,1.4,0.643,1.6,6.1,1.8,0.6,1.1,2.0,10.1,2
Zach Randolph\randoza01,59,1508,8.6,18.2,0.473,1.2,3.5,0.347,7.4,14.7,0.503,2.0,2.6,0.785,2.3,7.2,3.0,1.0,0.2,2.8,20.5,2
